song_id,song_title,artist,popularity,total_no_streams,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:1A85fOmviQuGgkF6Lww6Nd,Midnight Train,['Sam Smith'],64.00,"5,370,666.00",0.62,0.19,95.97,0.07,0.34,0.00,4.00,0.72,4.00,"207,164.00",-7.10,0.39,1.00
spotify:track:64ydkbrt0xhdJXRaam06Mc,Mile High,"['James Blake', 'Travis Scott', 'Metro Boomin']",74.00,"5,687,330.00",0.37,0.11,114.94,0.12,0.40,0.00,4.00,0.75,6.00,"193,600.00",-9.85,0.23,0.00
spotify:track:50PWlIBU7PlGGwzgN8TiFJ,Million Reasons,['Lady Gaga'],20.00,"92,282,800.00",0.45,0.11,129.89,0.05,0.48,0.00,4.00,0.67,0.00,"205,280.00",-7.90,0.15,1.00
spotify:track:6mw02h3qbWmuq2bJCRjRAe,Millionär,"['187 Strassenbande', 'Bonez MC', 'Gzuz']",65.00,"3,282,104.00",0.78,0.12,92.97,0.34,0.18,0.00,4.00,0.72,1.00,"159,212.00",-5.32,0.27,1.00
spotify:track:2cvFLZPAQoGeQnIRPt2LHE,MiNd Of MiNdd (Intro),['ZAYN'],48.00,"1,834,195.00",0.32,0.21,110.04,0.03,0.80,0.01,4.00,0.58,11.00,"57,320.00",-8.81,0.33,0.00
spotify:track:7uzmGiiJyRfuViKKK3lVmR,Mine,['Bazzi'],84.00,"468,993,923.00",0.79,0.45,142.93,0.07,0.02,0.00,4.00,0.71,4.00,"131,064.00",-3.87,0.72,1.00
spotify:track:6uJwPeBGb3swi85TSr9iIz,Miracles (Someone Special),"['Coldplay', 'Big Sean']",62.00,"4,737,597.00",0.82,0.14,97.00,0.04,0.02,0.00,4.00,0.63,6.00,"276,907.00",-5.50,0.37,1.00
spotify:track:4rHZZAmHpZrA3iH5zx8frV,Mirrors,['Justin Timberlake'],74.00,"23,716,006.00",0.51,0.09,76.90,0.05,0.23,0.00,4.00,0.57,5.00,"484,147.00",-6.66,0.51,0.00
spotify:track:6ZdxGOaZoNzbGrBLjUcrUs,Mis Deseos / Feliz Navidad (duet with Thalia),"['Michael Bublé', 'Thalía']",61.00,"1,157,378.00",0.57,0.20,126.00,0.04,0.60,0.00,4.00,0.66,9.00,"264,000.00",-6.52,0.80,1.00
spotify:track:6giHzoNmL0kwyBZAXGIIc2,Miss You,['James Hersey'],4.00,"53,452,222.00",0.60,0.11,120.01,0.06,0.09,0.00,4.00,0.87,5.00,"206,099.00",-7.62,0.62,0.00
spotify:track:3zxrecYFao03IrrcyFiaMU,Miss You,['Louis Tomlinson'],67.00,"4,280,976.00",0.69,0.26,180.24,0.21,0.02,0.00,3.00,0.54,3.00,"182,026.00",-5.39,0.68,1.00
spotify:track:0as7lPxkBPctZ7uVmchRNM,Miss You (with Major Lazer & Tory Lanez),"['Cashmere Cat', 'Major Lazer', 'Tory Lanez']",15.00,"44,812,261.00",0.65,0.10,100.00,0.10,0.23,0.00,4.00,0.75,1.00,"186,231.00",-4.56,0.44,1.00
spotify:track:5HnxL39pSgVVQMLP7WnSfv,Missing My Idols,['Trippie Redd'],67.00,"4,148,322.00",0.64,0.16,85.82,0.37,0.06,0.00,4.00,0.71,8.00,"146,923.00",-7.28,0.53,0.00
spotify:track:32OWobmyAz8J2qA8iWekyS,Mistletoe,['Justin Bieber'],32.00,"132,280,285.00",0.54,0.09,161.95,0.04,0.51,0.00,4.00,0.67,6.00,"182,947.00",-9.19,0.88,0.00
spotify:track:7faDzZnZYqTyYThx2sbHVQ,Mistletoe And Holly - Remastered 1999,['Frank Sinatra'],63.00,"5,992,745.00",0.10,0.08,110.38,0.04,0.80,0.00,4.00,0.61,9.00,"136,427.00",-14.41,0.34,1.00
spotify:track:1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,['Sheck Wes'],91.00,"318,507,069.00",0.63,0.25,146.03,0.03,0.19,0.01,4.00,0.73,4.00,"183,907.00",-5.27,0.26,1.00
spotify:track:7rC5Pl8rQSX4myONQHYPBK,Mob Ties,['Drake'],78.00,"94,167,463.00",0.58,0.28,85.99,0.07,0.05,0.00,4.00,0.76,4.00,"205,147.00",-8.39,0.49,0.00
spotify:track:7J6bnDDitOwfelaJNixHhL,Modern Slavery,"['Huncho Jack', 'Travis Scott', 'Quavo']",67.00,"6,243,472.00",0.74,0.28,134.07,0.24,0.00,0.00,4.00,0.74,4.00,"148,560.00",-3.72,0.50,0.00
