Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
2625.0,Capital Bra - 5 Songs in einer Nacht||../track/51922FOX7bXrEU4jSoxkY5.html,1.0,,200.0,,"3,692,260","3,692,260"
2626.0,Calvin Harris - Faking It||../track/0pJPdSVti6cTM1Q6xYGmcf.html,1.0,,150.0,,"3,690,168","3,690,168"
2627.0,Lana Del Rey - Groupie Love||../track/03hqMhmCZiNKMSPmVabPLP.html,1.0,,157.0,,"3,685,086","3,685,086"
2628.0,Maroon 5 - Whiskey||../track/4OEOEsOhlzDqQuewiuPJAc.html,1.0,,172.0,,"3,675,218","3,675,218"
2629.0,Rich The Kid - End Of Discussion||../track/0qFX9pVJQB4lBMxRoFXqGr.html,1.0,,188.0,,"3,674,205","3,674,205"
2630.0,Kendrick Lamar - untitled 05 | 09.21.2014.||../track/3V8vWoCbKbfjNrPaQ4YtSg.html,1.0,,68.0,,"3,657,939","3,657,939"
2631.0,Drake - Furthest Thing||../track/6cT5orvyKqwghJp6KB9vG0.html,3.0,,32.0,,"1,413,577","3,652,708"
2632.0,M83 - Midnight City||../track/6uaBPdNeTvL4yH9CVJOg6K.html,4.0,,184.0,,"916,981","3,650,867"
2633.0,Linkin Park - Leave Out All The Rest||../track/1yFiaFeSLpw4nDYTeErRZ6.html,1.0,,164.0,,"3,642,188","3,642,188"
2634.0,The Cranberries - Linger||../track/1aLNpg2kKvUncflV8xE5AA.html,1.0,,200.0,,"3,639,673","3,639,673"
2635.0,Logic - Confess||../track/58kwvMXeOlsvzPqUlyj75Y.html,1.0,,163.0,,"3,637,120","3,637,120"
2636.0,Lil Uzi Vert - Dark Queen||../track/2ZdCrBA52bb4pIG3tOOZiQ.html,1.0,,180.0,,"3,635,405","3,635,405"
2637.0,Coldplay - Hypnotised||../track/5LXj9Ch3O9ATm1NoHT8GXn.html,1.0,,159.0,,"3,629,505","3,629,505"
2638.0,Jeremih - Planez||../track/08zJpaUQVi9FrKv2e32Bah.html,2.0,,178.0,,"1,815,133","3,621,866"
2639.0,Kendrick Lamar - untitled 04 | 08.14.2014.||../track/1U13SSgDOxK98L1FTWYrjQ.html,1.0,,70.0,,"3,621,209","3,621,209"
2640.0,Loïc Nottet - Rhythm Inside||../track/3O2MsMZHCgSbRGEca5ML1N.html,3.0,,103.0,,"1,521,688","3,603,086"
2641.0,Lil Pump - Boss||../track/1rsAFUCa6BVMgRQ3FCQQsi.html,1.0,,177.0,,"3,592,368","3,592,368"
2642.0,MisterWives - Reflections||../track/2jLjVXkSJmMprZpIV4gXLN.html,3.0,,117.0,,"1,260,039","3,589,003"
2643.0,Calvin Harris - Skrt On Me||../track/7iDxZ5Cd0Yg08d4fI5WVtG.html,1.0,,161.0,,"3,582,957","3,582,957"
2644.0,John Mayer - Moving On and Getting Over||../track/1CdEcheLJU6SgxnbFEj2WX.html,1.0,,138.0,,"3,582,564","3,582,564"
2645.0,Fifth Harmony - Angel||../track/09KlDlkOYuC5x6hOaM7vaP.html,1.0,,154.0,,"3,580,700","3,580,700"
2646.0,Sam Smith - One Day At A Time||../track/6AUuRg513AfT50d52O60fS.html,1.0,,184.0,,"3,575,404","3,575,404"
2647.0,Niall Horan - On The Loose||../track/4kVo85bcmBkvMBcJl42XCA.html,1.0,,181.0,,"3,571,602","3,571,602"
2648.0,David Bowie - Blackstar||../track/0Fao855T3klV3REFRFHRF3.html,1.0,,70.0,,"3,570,481","3,570,481"
2649.0,Justin Bieber - Backpack||../track/5pzVYgKZS2NYtcvGWfK5G2.html,3.0,,134.0,,"1,250,966","3,563,647"
2650.0,A$AP Rocky - Lord Pretty Flacko Jodye 2 (LPFJ2)||../track/2gcWBtz13XcrxtKuPSICsh.html,3.0,,92.0,,"1,630,115","3,555,640"
2651.0,Fences - Arrows||../track/2GPaAr882x4ZteZnxywolL.html,3.0,,106.0,,"1,309,279","3,547,251"
2652.0,Logic - Take It Back||../track/6HN5XPJEV31RQJGoyqZ81K.html,1.0,,170.0,,"3,545,006","3,545,006"
2653.0,James Blunt - When I Find Love Again||../track/5aHgzqUqrqlaS8mzAUfo8K.html,3.0,,148.0,,"1,266,459","3,540,616"
2654.0,Kendrick Lamar - The Blacker The Berry||../track/6jFGs4RjefAi5Kf7F35bht.html,1.0,,51.0,,"3,538,860","3,538,860"
2655.0,Drake - 30 for 30 Freestyle||../track/1DmnEYXa4WfbdhAPwNzgD8.html,2.0,,145.0,,"1,874,177","3,532,307"
2656.0,Lorde - Writer In The Dark||../track/193Dm5SqYy3hTSbuzxbwKc.html,1.0,,165.0,,"3,529,730","3,529,730"
2657.0,Fall Out Boy - The Kids Aren't Alright||../track/5CQW2BVIEgl6FroWmPZj1t.html,3.0,,129.0,,"1,436,515","3,520,607"
2658.0,Noah Cyrus - Again||../track/2S2od3hT7ceytw7d1pTRuE.html,1.0,,185.0,,"3,508,716","3,508,716"
2659.0,Big Sean - All Your Fault||../track/3sPM57pMiIJnrB8K0Pds9G.html,2.0,,102.0,,"1,969,987","3,487,330"
2660.0,BTS - MIC Drop||../track/2SYa5Lx1uoCvyDIW4oee9b.html,1.0,,185.0,,"3,482,941","3,482,941"
2661.0,Nick Jonas - Remember I Told You||../track/42NpUvd0I2kdIuMXX4nobE.html,1.0,,167.0,,"3,469,242","3,469,242"
2662.0,MC's Jhowzinho & Kadinho - Agora Vai Sentar||../track/0pDaqgIForVNO4jrtTxcWT.html,1.0,,198.0,,"3,457,583","3,457,583"
2663.0,Kendrick Lamar - untitled 06 | 06.30.2014.||../track/4M2t7bP4Mq87mGMn0PObUX.html,1.0,,78.0,,"3,452,778","3,452,778"
2664.0,Linkin Park - BURN IT DOWN||../track/7oVEtyuv9NBmnytsCIsY5I.html,1.0,,177.0,,"3,448,519","3,448,519"
2665.0,Kendrick Lamar - u||../track/7nv5sYNKHjk55fSJZVg6tk.html,1.0,,72.0,,"3,448,044","3,448,044"
2666.0,Linkin Park - Breaking The Habit||../track/6n8TMVyFKoUmDc4apxceRD.html,1.0,,178.0,,"3,440,595","3,440,595"
2667.0,The xx - Dangerous||../track/33B2QbtAj8mbDpwvGTOnBt.html,1.0,,143.0,,"3,426,920","3,426,920"
2668.0,Fergie - A Little Party Never Killed Nobody (All We Got)||../track/36482hNESSwELpr9sS3NbE.html,3.0,,43.0,,"1,188,405","3,421,731"
2669.0,Astrid S - Breathe||../track/4fhVodXZARPX0oTuQh8V9l.html,1.0,,177.0,,"3,418,406","3,418,406"
2670.0,Lana Del Rey - White Mustang||../track/2Pn76oik9rWyoBShTSNY9Q.html,1.0,,179.0,,"3,413,387","3,413,387"
2671.0,Darlene Love - White Christmas||../track/7ycXzaoRRLRnJsNw2O948A.html,2.0,,86.0,,"2,145,844","3,409,832"
2672.0,"Tyler, The Creator - Boredom||../track/5WNYg3usc6H8N3MBEp4zVk.html",1.0,,180.0,,"3,396,784","3,396,784"
2673.0,Big Sean - Light||../track/0URaKGzNTtzKRtsJN1RkA9.html,1.0,,158.0,,"3,393,346","3,393,346"
2674.0,Drake - You & The 6||../track/7bqtkOsSx4q6YUtmv60ffR.html,2.0,,101.0,,"2,148,000","3,391,877"
2675.0,Lorde - Sober II (Melodrama)||../track/54ucfuN596MU25jQD3KjCL.html,1.0,,182.0,,"3,389,506","3,389,506"
2676.0,Thomas Rhett - Crash And Burn||../track/7IAWwCJwJyDze679B3bSGP.html,4.0,,192.0,,"1,451,959","3,387,721"
2677.0,Camila Cabello - I Have Questions||../track/3NgCzSW98SsqBdpYcnm4kv.html,1.0,,176.0,,"3,384,936","3,384,936"
2678.0,Avicii - Friend Of Mine||../track/5WEqjIUHkwZ5h3DSE7F9bM.html,1.0,,163.0,,"3,382,486","3,382,486"
2679.0,Imagine Dragons - Start Over||../track/4J2RaG4UH2HCThcqzDpeAF.html,1.0,,168.0,,"3,376,145","3,376,145"
2680.0,Boef - Habiba||../track/6G41AeVgQkpvEbTxN5fNkW.html,1.0,,193.0,,"3,363,371","3,363,371"
2681.0,Big Sean - Voices In My Head/Stick To The Plan||../track/2pzuU8vLaG8W1P31X65ZP9.html,1.0,,163.0,,"3,358,861","3,358,861"
2682.0,Logic - America||../track/77mLzdHEWRB60CLlV02TV2.html,1.0,,179.0,,"3,352,882","3,352,882"
2683.0,Bryson Tiller - Self-Made||../track/2rUwQj4SWaP2anuGDtNpYR.html,1.0,,180.0,,"3,351,272","3,351,272"
2684.0,Florence + The Machine - What Kind Of Man||../track/09Ua1o00SlYsiN7Mn3t7ji.html,4.0,,163.0,,"1,386,315","3,350,669"
2685.0,Future - No Cap||../track/06Gyf2pFDVmN5K8XAawG96.html,1.0,,199.0,,"3,345,887","3,345,887"
2686.0,Axwell /\ Ingrosso - On My Way||../track/1shDLpsNopiFi72lzxr7mI.html,5.0,,176.0,,"1,131,197","3,340,335"
2687.0,Chris Brown - High End||../track/2XdgSB4TtzUHQYCMfSHbFI.html,1.0,,193.0,,"3,336,413","3,336,413"
2688.0,Nicky Jam - Travesuras||../track/1PtL0YQRtq3qxDGUSwZPJ5.html,7.0,,198.0,,"746,697","3,325,366"
2689.0,Lil Uzi Vert - Feelings Mutual||../track/5Y3Tj0wJhKAaPbwWxXxZGS.html,1.0,,195.0,,"3,323,082","3,323,082"
2690.0,Bryson Tiller - Don't Get Too High||../track/0OVhQZkNe7lh0fQeH96EFW.html,1.0,,183.0,,"3,320,450","3,320,450"
2691.0,One Direction - Ready to Run||../track/7GtGeeChOx4NS77bqK8SUx.html,2.0,,90.0,,"2,018,292","3,304,718"
2692.0,Joey Bada$$ - Devastated||../track/69r7LebTGOlEXXmV6BaSuU.html,1.0,,193.0,,"3,299,506","3,299,506"
2693.0,Kendrick Lamar - untitled 08 | 09.06.2014.||../track/5bBUDJUfGcG7eFy3Bf4fXv.html,1.0,,86.0,,"3,299,367","3,299,367"
2694.0,Martin Garrix - Forbidden Voices||../track/2BF1X5nkYYSb0AUTRaGkDm.html,3.0,,112.0,,"1,772,517","3,290,148"
2695.0,187 Strassenbande - Millionär||../track/6mw02h3qbWmuq2bJCRjRAe.html,1.0,,192.0,,"3,282,104","3,282,104"
2696.0,Thirty Seconds To Mars - Walk On Water||../track/4U9arGcc4ATa7shChhLQP0.html,1.0,,199.0,,"3,278,983","3,278,983"
2697.0,XXXTENTACION - The Explanation||../track/0VJYhKhrHgJ7fgjGaC2k07.html,1.0,,200.0,,"3,275,927","3,275,927"
2698.0,Linkin Park - Nobody Can Save Me||../track/3dJj6o9o1fRgrojWjailuz.html,1.0,,194.0,,"3,274,964","3,274,964"
2699.0,Tom Petty - Free Fallin'||../track/5tVA6TkbaAH9QMITTQRrNv.html,1.0,,197.0,,"3,273,724","3,273,724"
2700.0,MKTO - American Dream||../track/7hZW3cbGT0q0xTFqvemfLl.html,3.0,,136.0,,"1,113,396","3,272,980"
2701.0,BTS - dimple||../track/3ryjLm3oupIjJFGc39naNi.html,1.0,,197.0,,"3,258,938","3,258,938"
2702.0,Ed Sheeran - Shape of You (Major Lazer Remix)||../track/1KqvRRQd3lfM0pAlkGPrgD.html,1.0,,178.0,,"3,252,752","3,252,752"
2703.0,BLACKPINK - As If It's Your Last||../track/1Zyd6zQnC6XIIzmg3hP7Ot.html,1.0,,183.0,,"3,251,815","3,251,815"
2704.0,Logic - Hallelujah||../track/7fRfIvHPH6bHdMDjPFwTMh.html,1.0,,188.0,,"3,248,729","3,248,729"
2705.0,Lana Del Rey - Beautiful People Beautiful Problems||../track/3O7p9Itz8PXUoAjD2vmuM6.html,1.0,,198.0,,"3,236,589","3,236,589"
2706.0,Paramore - Told You So||../track/7BpYWzZwrsljT1eIjb0TqR.html,1.0,,188.0,,"3,235,269","3,235,269"
2707.0,Desiigner - Outlet||../track/6E39QsoWB7JjphPF9xCQSN.html,1.0,,175.0,,"3,229,361","3,229,361"
2708.0,Logic - Ink Blot||../track/732btJLGu7gYNHHNdzshrG.html,1.0,,190.0,,"3,228,290","3,228,290"
2709.0,2 Chainz - Good Drank||../track/6aRlUgqcLgrxQE3RMngjN5.html,1.0,,195.0,,"3,214,396","3,214,396"
2710.0,Kesha - Learn To Let Go||../track/3JKhmIlixlYwFLzrkc6drb.html,1.0,,176.0,,"3,211,380","3,211,380"
2711.0,George Michael - Careless Whisper||../track/4jDmJ51x1o9NZB5Nxxc7gY.html,1.0,,163.0,,"3,209,591","3,209,591"
2712.0,21 Savage - Famous||../track/19HA9J80qZfIkAnp2g8N2S.html,1.0,,180.0,,"3,195,965","3,195,965"
2713.0,Zedd - Stay The Night||../track/2qq7sHFIexFKEvlNghevsj.html,2.0,,45.0,,"1,629,220","3,194,007"
2714.0,Adele - Turning Tables||../track/5O6yk6U8L3rTbFsIwuqe8H.html,2.0,,187.0,,"1,605,871","3,178,071"
2715.0,Lil Yachty - Peek A Boo||../track/1iTWoKAdilGEmit6xhQZje.html,1.0,,190.0,,"3,162,329","3,162,329"
2716.0,Freddy Kalas - Pinne for Landet||../track/6iq4MrQ7pLZYQlVoYMygP5.html,3.0,,180.0,,"1,092,370","3,148,400"
